Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueJungle,blueMiddle,blueADC,blueSupport,redTop,redJungle,redMiddle,redADC,redSupport
2015,Spring,Season,TSM,1,0,C9,40,Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy,Balls,Meteos,Hai,Sneaky,LemonNation
2015,Spring,Season,CST,0,1,DIG,38,Cris,Impaler,Jesiz,Mash,Sheep,Gamsu,Crumbzz,Shiphtur,CoreJJ,KiWiKiD
2015,Spring,Season,WFX,1,0,GV,40,Flaresz,ShorterACE,Pobelter,Altec,Gleeb,Hauntzer,Saintvicious,Keane,Cop,BunnyFuFuu
2015,Spring,Season,TIP,0,1,TL,41,Rhux,Rush,XiaoWeiXiao,Apollo,Adrian,Quas,IWDominate,Fenix,KEITH,Xpecial
2015,Spring,Season,CLG,1,0,T8,35,Benny,Xmithie,Link,Doublelift,aphromoo,CaliTrlolz8,Porpoise8,Slooshi8,Maplestreet8,Dodo8
2015,Spring,Season,DIG,0,1,TIP,24,Gamsu,Crumbzz,Shiphtur,CoreJJ,KiWiKiD,Rhux,Rush,XiaoWeiXiao,Apollo,Adrian
2015,Spring,Season,CST,1,0,WFX,39,Cris,Impaler,Jesiz,Mash,Sheep,Flaresz,ShorterACE,Pobelter,Altec,Gleeb
2015,Spring,Season,TL,1,0,CLG,43,Quas,IWDominate,FeniX,KEITH,Xpecial,Benny,Xmithie,Link,Doublelift,Aphromoo
2015,Spring,Season,C9,0,1,GV,41,Balls,Meteos,Hai,Sneaky,LemonNation,Hauntzer,Saintvicious,Keane,Cop,Bunny FuFuu
2015,Spring,Season,T8,1,0,TSM,32,CaliTrlolz8,Porpoise8,Slooshi8,Maplestreet8,Dodo8,Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy
2015,Spring,Season,GV,1,0,DIG,52,Hauntzer,Saintvicious,Keane,Cop,Bunny FuFuu,Gamsu,Crumbzz,Shiphtur,CoreJJ,KiWiKiD
2015,Spring,Season,T8,1,0,CST,46,CaliTrlolz8,Porpoise8,Slooshi8,Maplestreet8,Dodo8,Cris,Impaler,Jesiz,Mash,Sheep
2015,Spring,Season,C9,1,0,TL,38,Balls,Meteos,Hai,Sneaky,LemonNation,Quas,IWDominate,FeniX,Piglet,Xpecial
2015,Spring,Season,TIP,0,1,CLG,31,Impact,Rush,XiaoWeiXiao,Apollo,Adrian,ZionSpartan,Xmithie,Link,Doublelift,Aphromoo
2015,Spring,Season,TSM,1,0,WFX,33,Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy,Avalon,Helios,Pobelter,Altec,Gleeb
2015,Spring,Season,CLG,1,0,C9,38,ZionSpartan,Xmithie,Link,Doublelift,Aphromoo,Balls,Meteos,Hai,Sneaky,LemonNation
2015,Spring,Season,DIG,0,1,WFX,40,Gamsu,Crumbzz,Shiphtur,CoreJJ,KiWiKiD,Avalon,Helios,Pobelter,Altec,Gleeb
2015,Spring,Season,TSM,1,0,TL,39,Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy,Quas,IWDominate,FeniX,Piglet,Xpecial
2015,Spring,Season,TIP,1,0,T8,40,Impact,Rush,XiaoWeiXiao,Apollo,Adrian,CaliTrlolz8,Porpoise8,Slooshi8,Maplestreet8,Dodo8
2015,Spring,Season,CST,0,1,GV,39,Cris,Impaler,Jesiz,Mash,Sheep,Hauntzer,Saintvicious,Keane,Cop,Bunny FuFuu
2015,Spring,Season,GV,0,1,TIP,49,Hauntzer,Saintvicious,Keane,Cop,Bunny FuFuu,Impact,Rush,XiaoWeiXiao,Apollo,Adrian
2015,Spring,Season,C9,1,0,T8,35,Balls,Meteos,Hai,Sneaky,LemonNation,CaliTrlolz8,Porpoise8,Slooshi8,Maplestreet8,Dodo8
2015,Spring,Season,DIG,0,1,TSM,36,Gamsu,CloudNguyen,Shiphtur,CoreJJ,KiWiKiD,Dyrus,Santorin,Bjergsen,WildTurtle,Lustboy
2015,Spring,Season,TL,1,0,CST,43,Quas,IWDominate,FeniX,Piglet,Xpecial,Cris,Impaler,Jesiz,Mash,Sheep
